"id_str","user_id_str"
226088329937031168,212907607
226100081789644800,199452278
226114444609089536,199452278
226116603417358336,74103078
226125805783244801,212907607
226129655235743744,212907607
226203788015452161,49987859
226208130869129216,58316145
226611752660504577,592216694
226938674770767872,199452278
226950408625602561,393761868
227156944333438976,199452278
227159088285483009,393761868
227159464267112449,199452278
227184713016700928,592216694
227188433007812608,592216694
227191842679164928,592216694
227192907621335040,592216694
227194443311243265,199452278
227275906941583360,199452278
227282525226156033,40126500
227294397421744128,41378267
227300395188383744,199452278
227303048035332096,592216694
227333587442225152,199452278
227524210380136450,199452278
227550107812376576,199452278
227551885639442433,199452278
227553866865070080,199452278
227577424974585856,357182319
227577761869484033,25033901
227614159133630465,393761868
227968654531239938,212907607
228260351181996032,212907607
228281223880007680,199452278
228286940552781824,199452278
228288667188346880,513699167
228295403064414208,212907607
228315782482898946,199452278
228389606251454465,199452278
228648812045012992,199452278
228651654143156224,358607763
228653037919555584,74103078
228663509834141696,212907607
228718384953565185,199452278
228718750386491392,199452278
228719457806188544,18129652
228720908892774401,8376842
228743353267793920,49987859
228744286139740161,180300945
228763087157727233,524005712
228767355029815296,155354729
228853538309173248,49987859
228862223588667393,41378267
228872001517932544,423221238
229128094697533441,49987859
229132009929338880,20843656
229133659402289153,199452278
229722272083099648,199452278
229739095012831232,212907607
229741188767440896,212907607
229749888198516736,29119522
229846160288907265,199452278
229858488526987264,212907607
230080570858807296,268508951
230114703727267840,199452278
230129453127311360,212907607
230129906141523968,212907607
230188038293159937,364799902
230570565885370368,199452278
230572738736177152,165978467
230883803801985024,268508951
231171685263503361,41378267
231277626818433024,199452278
231298673642975234,49987859
231363519612854272,268958621
231603889806385152,199452278
231604729992593411,199452278
231879145330724864,522131781
231879613587005440,176749827
232218663091056640,522131781
232224092948922369,199452278
232612758825336833,522131781
233125322516729856,29119522
233130465672970240,29119522
233151723185778688,592216694
233452357139181568,199452278
233453207991496704,429656764
233456579796672514,29119522
233709638611263488,268508951
233754552334163968,393761868
234050503229718528,199452278
234055373798129664,18129652
234057451907993600,29129178
234116851330854912,199452278
234129497702690816,199452278
234131405343424512,199452278
234234868689670144,199452278
234399490818314240,199452278
234475949062766592,393761868
234840769859567618,212907607
234844604946591744,212907607
234981852316856320,199452278
235186681182044160,199452278
235187211107184640,199452278
235195074038882304,357182319
235204706107027457,393761868
235215465717317632,199452278
235269852712034305,212907607
235282632362033152,199452278
235621591353028608,212907607
235867743826612224,199452278
235886703385128960,199452278
235891089855369217,614752239
235959431580512258,29119522
235959622870126592,29119522
235994439674388480,199452278
235995072448057344,199452278
236039507353427968,393761868
237036220746723328,522131781
237407746683715584,212907607
237449916895608832,199452278
237499167667265536,393761868
237519433944403968,505431909
237746639710875648,41378267
238082647526621184,212907607
238421969249398785,199452278
238559812693143553,212907607
238800727902924800,199452278
239111887256682497,199452278
239128147428261888,199452278
239692104425693185,199452278
240032106418413568,199452278
240251280713465857,199452278
240252090281246721,199452278
240285480925675520,23711301
240322434333560832,393761868
240334148655534080,64554919
240587688661614593,199452278
240596191853813762,41378267
240659581003522048,199452278
240937429723406336,199452278
242601853387436033,199452278
242782655186362368,41378267
242785047613161472,41378267
242868511851044864,212907607
242874850652327936,319687158
243038653000077312,425774660
243114087326838784,212907607
243493523331088385,199452278
243500934376869888,41378267
243501108029423616,78104190
243501668921126912,166682786
243504510318809088,268508951
243807047068573696,199452278
243868566078750723,212907607
243868807259643904,23577749
244583742511919105,199452278
244599737897082880,199452278
244608911007690752,614752239
244632178015731712,199452278
244947427407314944,130698627
244956282157686784,212907607
244987655341887488,212907607
244988138487951363,212907607
244988289998807040,18129652
244988473776427008,18263002
244988750340440066,41378267
244989323324321792,212907607
244989704032890880,212907607
244989818931646464,175369288
